timestamp,source_ip,event_type,status
2026-07-05 09:00:12,192.168.1.10,LOGIN_SUCCESS,Success
2026-07-05 09:01:14,192.168.1.20,LOGIN_FAILED,Failed
2026-07-05 09:01:20,192.168.1.20,LOGIN_FAILED,Failed
2026-07-05 09:01:29,192.168.1.20,LOGIN_FAILED,Failed
2026-07-05 09:01:37,192.168.1.20,LOGIN_FAILED,Failed
2026-07-05 09:01:44,192.168.1.20,LOGIN_FAILED,Failed
2026-07-05 09:02:05,10.0.0.5,PORT_SCAN,Detected
2026-07-05 09:02:38,172.16.0.15,FIREWALL_UPDATE,Completed
2026-07-05 09:03:11,203.0.113.45,SUSPICIOUS_LOGIN,Medium
2026-07-05 09:04:02,198.51.100.10,MALWARE_DETECTED,Critical
2026-07-05 09:05:21,192.168.1.33,LOGIN_SUCCESS,Success
2026-07-05 09:06:14,10.10.10.4,SQL_INJECTION,Blocked
2026-07-05 09:07:49,172.20.10.12,XSS_ATTACK,Blocked
2026-07-05 09:08:32,192.168.1.20,LOGIN_FAILED,Failed
2026-07-05 09:09:01,192.168.1.20,LOGIN_FAILED,Failed
